zpid,price,street,city,state,zipcode,beds,baths,area,latitude,longitude,home_type,tax_assessed_value,lot_area_value,days_on_zillow
55483892,335000,3414 Leila Oaks Ct,Houston,TX,77082,4.0,3.0,2620.0,29.721209,-95.65625,SINGLE_FAMILY,356345.0,6673.392,6
28092943,414900,6214 Yarwell Dr,Houston,TX,77096,4.0,3.0,2360.0,29.670376,-95.50101,SINGLE_FAMILY,438908.0,8520.336,60
28445365,180000,3800 Tanglewilde St APT 806,Houston,TX,77063,2.0,3.0,1500.0,29.722614,-95.53609,TOWNHOUSE,189414.0,3.7274,48
28164396,1650000,2027 W Indies Ct,Houston,TX,77058,5.0,5.0,5525.0,29.536716,-95.08397,SINGLE_FAMILY,1081900.0,10267.092,97
339419944,495000,1913 Hoskins Dr #H,Houston,TX,77080,3.0,4.0,2101.0,29.80773,-95.52328,SINGLE_FAMILY,111911.0,1873.08,25
27764014,458500,4711 Cetti St,Houston,TX,77009,3.0,2.0,1581.0,29.802984,-95.359406,SINGLE_FAMILY,394459.0,7701.408,4
121109624,460000,2511 Golf Ridge Cir,Houston,TX,77089,4.0,4.0,3448.0,29.573717,-95.23797,SINGLE_FAMILY,440419.0,7318.08,12
28366235,199000,11016 Marshhay Ct,Houston,TX,77086,2.0,1.0,1121.0,29.936392,-95.49574,SINGLE_FAMILY,147409.0,5466.78,10
28481042,239000,18617 Egret Bay Blvd APT 1119,Houston,TX,77058,2.0,3.0,1260.0,29.539,-95.0984,CONDO,184000.0,3.0345,73
97601554,389000,2519 Kirk St,Houston,TX,77026,3.0,3.0,1929.0,29.785969,-95.32655,SINGLE_FAMILY,51250.0,5000.688,25
62596386,325000,13418 Knightsway Dr,Houston,TX,77083,5.0,3.0,2248.0,29.676868,-95.620346,SINGLE_FAMILY,245137.0,5130.0,18
28324834,99990,9538 Pagewood Ln #9583,Houston,TX,77063,2.0,3.0,1224.0,29.724957,-95.53319,CONDO,119972.0,5.1024,66
27763048,375000,306 E 32nd St,Houston,TX,77018,2.0,2.0,1040.0,29.81541,-95.395676,SINGLE_FAMILY,250000.0,9000.0,36
2053626579,295000,13158 Perennial Springs Dr,Houston,TX,77048,3.0,3.0,1546.0,29.618006,-95.35245,SINGLE_FAMILY,30048.0,2508.0,165
249895876,484900,1404 Cleburne St,Houston,TX,77004,3.0,4.0,2217.0,29.733358,-95.378,SINGLE_FAMILY,98294.0,1637.856,40
28003472,620000,1827 Watercrest Dr,Houston,TX,77008,3.0,2.0,1578.0,29.802946,-95.43684,SINGLE_FAMILY,540927.0,7213.536,13
27874469,504990,3021 King St,Houston,TX,77026,4.0,3.0,2406.0,29.818274,-95.34038,SINGLE_FAMILY,77063.0,6851.988,32
27867706,179000,14018 Eagle Pass St,Houston,TX,77015,3.0,3.0,2237.0,29.78408,-95.17533,MANUFACTURED,100379.0,5248.98,57
28001675,187500,4918 Paradise Ln,Houston,TX,77048,4.0,2.0,1236.0,29.645521,-95.351814,SINGLE_FAMILY,127700.0,6599.34,179
27792337,550000,6728 Buffalo Speedway,Houston,TX,77005,3.0,3.0,2448.0,29.706354,-95.427895,TOWNHOUSE,465550.0,3800.0,145
28197655,209000,2214 Winrock Blvd #179,Houston,TX,77057,2.0,2.0,1056.0,29.743465,-95.497826,TOWNHOUSE,158706.0,13.1068,200
126255841,560000,1144 W 17th St,Houston,TX,77008,3.0,4.0,2305.0,29.800348,-95.41956,TOWNHOUSE,623078.0,1815.0,42
28008981,399900,5502 Hummingbird St,Houston,TX,77096,4.0,3.0,1871.0,29.66173,-95.480385,SINGLE_FAMILY,305923.0,9600.624,104
339420669,409900,903 Lehman Rd #B,Houston,TX,77018,3.0,4.0,1857.0,29.83865,-95.41692,SINGLE_FAMILY,437848.0,1495.0,201
27896109,284000,743 Granville Dr,Houston,TX,77091,3.0,3.0,2216.0,29.862913,-95.41545,SINGLE_FAMILY,277731.0,7509.744,85
338061297,379990,737 Emile St,Houston,TX,77020,3.0,3.0,1824.0,29.76819,-95.32423,SINGLE_FAMILY,88144.0,1586.0,139
28365951,239900,14118 Sandy Point Ln,Houston,TX,77066,3.0,2.0,1413.0,29.941479,-95.469986,SINGLE_FAMILY,209592.0,8507.268,28
126258435,239500,2710 Hullsmith Dr #1605,Houston,TX,77063,2.0,2.0,1501.0,29.735628,-95.507614,CONDO,256033.0,2.0503,246
27851164,1798500,2120 White Oak Dr,Houston,TX,77009,3.0,4.0,4114.0,29.780136,-95.380226,SINGLE_FAMILY,1755853.0,4550.0,92
27789710,365900,6602 Avenue F,Houston,TX,77011,2.0,2.0,1200.0,29.741356,-95.308754,SINGLE_FAMILY,173930.0,5000.688,19
28504569,1370000,9211 Hudson Ct,Houston,TX,77024,4.0,4.0,4590.0,29.74792,-95.53121,SINGLE_FAMILY,1468631.0,0.2662,52
339423876,479000,503 Altic St,Houston,TX,77011,3.0,3.0,1813.0,29.740284,-95.32139,SINGLE_FAMILY,102584.0,2428.0,27
339419708,385000,1420 Weiss St,Houston,TX,77009,3.0,3.0,1614.0,29.799858,-95.35382,SINGLE_FAMILY,406376.0,2347.884,26
28465591,289000,16703 Rock East Dr,Houston,TX,77073,3.0,3.0,1720.0,30.009724,-95.42045,SINGLE_FAMILY,237190.0,4948.416,125
27844993,1950000,2920 San Felipe St,Houston,TX,77019,3.0,4.0,2538.0,29.748491,-95.41979,SINGLE_FAMILY,2103642.0,0.3501,249
28009018,355000,5427 Kingfisher Dr,Houston,TX,77096,3.0,2.0,1766.0,29.66049,-95.47871,SINGLE_FAMILY,311615.0,8650.0,89
27765540,320000,1409 Morris St,Houston,TX,77009,2.0,2.0,1148.0,29.784489,-95.35342,SINGLE_FAMILY,241735.0,5000.688,14
27825112,225000,10525 Fairfax St,Houston,TX,77029,5.0,3.0,815.0,29.76105,-95.24239,SINGLE_FAMILY,222747.0,6499.152,1
28019526,195000,10618 Leitrim Way,Houston,TX,77047,3.0,3.0,1512.0,29.64384,-95.36364,SINGLE_FAMILY,174126.0,6050.484,190
28024491,179900,3706 Goulburn Dr,Houston,TX,77045,4.0,3.0,2090.0,29.616085,-95.43231,SINGLE_FAMILY,210306.0,6821.496,62
28102176,574000,11414 Pecan Creek Dr,Houston,TX,77043,3.0,2.0,2350.0,29.788012,-95.58426,SINGLE_FAMILY,393007.0,8999.496,7
